lemma,jisho,nai,nakatta,masu,te,ta,imp,con,vol,pot
する,する,しない,しなかった,します,して,した,しろ,すれば,しよう,できる
くる,くる,こない,こなかった,きます,きて,きた,こい,くれば,こよう,こられる
来る,来る,来ない,来なかった,来ます,来て,来た,来い,来れば,来よう,来られる
いる,いる,いない,いなかった,います,いて,いた,いろ,いれば,いよう,いられる
ある,ある,ない,なかった,あります,あって,あった,あれ,あれば,あろう,ありえる
在る,在る,ない,なかった,在ります,在って,在った,在れ,在れば,在ろう,ありえる
有る,有る,ない,なかった,有ります,有って,有った,有れ,有れば,有ろう,有りえる
なさる,なさる,なさらない,なさらなかった,なさいます,なさって,なさった,なされ,なされば,なさろう,
くださる,くださる,くださらない,くださらなかった,くださいます,くださって,くださった,くだされ,くだされば,くださろう,
おっしゃる,おっしゃる,おっしゃらない,おっしゃらなかった,おっしゃいます,おっしゃって,おっしゃった,おっしゃれ,おっしゃれば,おっしゃろう,
いらっしゃる,いらっしゃる,いらっしゃらない,いらっしゃらなかった,いらっしゃいます,いらっしゃって,いらっしゃった,いらっしゃれ,いらっしゃれば,いらっしゃろう,