sent,level
ＸＰの期限切れは、学習に大きな影響を与えると考えている。,3.5
中には、レジを待つ間に読み始めるファンや、１０冊をまとめ買いする人もいました。,3.5
やはり村上春樹さんならではのことだと思います。,3.5
このため、値下げによって客数を３０％増やし黒字化を目指すということです。,3.5
同じように凍結防止剤を多く使っている橋は全体の４分の１に上るということです。,3.5
不適切な発言があったことについておわびしたい。,3.5
五冠を達成した里見香奈さんは、島根県出雲市出身の２１歳。,3.5
物体を１億倍にまで拡大できる顕微鏡を通じて撮影されました。,3.5
犠牲者のほとんどは市民で、けが人の数も２０００人以上に上っています。,3.5
また、日本がホームでワールドカップ出場を決めるのは今回が初めてです。,3.5
特に人気があるのは、一般向けに分かりやすく書かれた書籍です。,3.5
孫が１４人、ひ孫が２５人、やしゃごが１５人います。,3.5
多くは、一般の人たちに科学を説明する立場にあります。,3.5
およそ９キロの区間に植えられているあじさいは青紫色やピンク色などおよそ１万株。,3.5
箱根登山鉄道の線路沿いのあじさいは、７月上旬まで楽しめるということです。,3.5
エンゲルバート氏は今月２日、カリフォルニア州の自宅で亡くなったということです。,3.5
参議院選挙の立候補の受け付けは、午後５時に締め切られました。,3.5
次の大会は再来年の８月、ブラジルのサンパウロで開かれます。,3.5
地図やレジャーシートなどの折り畳み方として実用化されている「ミウラ折り」。,3.5
また、このミウラ折りを応用した飲料用の缶もすでに実用化されています。,3.5
一方、民主党は、結党以来、最も少ない１７議席にとどまり、大敗しました。,3.5
また、自民・公明両党は、合わせて７６議席を獲得しました。,3.5
こうやってじっくり顔を見るのは私も初めてです。,3.5
危険だとは思いながらもつい使ってしまいます。,3.5
また、少なくとも住宅６０棟が倒壊し、多数の車が流されたりしたということです。,3.5
星雲を拡大してみると、中には、いくつもの星があることが分かります。,3.5
一方、４月と６月には、指針の数値を超えた日は無かったということです。,3.5
また、２位は「オカザえもん」、３位は「ことちゃん」でした。,3.5
サングラスをかけ、タクシー運転手の制服に身を包んだストルテンベルグ首相。,3.5
この展示会は、来月２９日まで開かれています。,3.5
このうち杉並区では、住宅２棟が床上まで浸水し、１棟が床下浸水しました。,3.5
三鷹市では、理髪店が床上浸水したほか、住宅２棟が床下浸水しました。,3.5
車庫に住んでいる人もいて、冷房施設もない。,3.5
そして正午の時報とともに、参列者全員で１分間の黙とうをささげました。,3.5
夫に、子どもも孫もみんな丈夫に育ったことを伝えたいと思います。,3.5
そして、花束をささげ、深く頭を下げて、戦没者の霊を慰めていました。,3.5
イチロー選手は、ヘルメットをとって一礼し、大歓声に応えました。,3.5
日本のプロ野球には４０００本安打を達成した選手はいません。,3.5
チームメートになって見えてきたのは、どれだけ必死に練習しているかだ。,3.5
音が静かになったということだが会話も普通にできた。,3.5
例えば地上最速の動物とされるチータは、時速およそ１００キロと言われています。,3.5
世界三大映画祭に作品がノミネート中の監督の引退発表は異例です。,3.5
宮崎監督は今月６日に東京都内で記者会見して引退の理由などを語るということです。,3.5
点数は８０点ぐらいで、まだ改善の余地はあるので最後の詰めをこれからやりたい。,3.5
内容は当日のお楽しみですが、出来には自信を持っています。,3.5
ＪＲ函館駅近くの観光名所、函館朝市では、関係者の間に動揺が広がっていました。,3.5
また、小児科がある病院は２７０２施設で、前の年より３１施設減りました。,3.5
東京電力は「継続的に見ていかないと原因や傾向はわからない」としています。,3.5
講演会とは別に、横浜市では、福島さんの作品を紹介する写真展が開かれています。,3.5
中村さんは原爆症に苦しんだ末、１９６７年に死去。,3.5
バレンティン選手はカリブ海のオランダ領キュラソー島出身の２９歳。,3.5
長距離打者としてのコツを、ものにしたのだと思います。,3.5
バレンティン選手はカリブ海のオランダ領キュラソー島出身の２９歳。,3.5
女性は病院に運ばれ治療を受けていますが、命に別状はないということです。,3.5
「日本酒」も値上がりする可能性があります。,3.5
同２位、オックスフォード大学（英）。,3.5
日本の大学で上位２００位に入ったのは以下の大学です。,3.5
世界選手権の４連覇は男女を通じて史上初めてです。,3.5
接戦でしたが、日本で厳しい戦いをしてきたのでその経験を生かせた。,3.5
ことしのノーベル賞の発表が７日から始まります。,3.5
そして１０日以降も文学賞、平和賞、経済学賞が発表されます。,3.5
それぞれの分野ごとに毎年３人までが受賞し、これまでに８６３人が受賞しています。,3.5
平成に入ると、まず、平成６年に大江健三郎さんが文学賞を受賞しました。,3.5
問題の内容はごく一部しか明らかにされていません。,3.5
例えば営業マンが車で出張した場合に、会社から支払われる経費を問う問題。,3.5
正解は３５円×１４６キロ＝５１１０円に４０００円を足して９１１０円です。,3.5
実験をする研究者は大変だなと思ってきた。,3.5
一方で、ヒッグス粒子は今まで誰も見たことのない性質を持っています。,3.5
店舗の商品の宅配は電話などで受け付け、原則、配達料は無料としています。,3.5
こうした功績が評価されて平成３年には勲四等瑞宝章を受章しています。,3.5
宇宙飛行士の滞在が始まったのは、その２年後の２０００年からです。,3.5
また、国内でも年間４００億円の費用が問題視されています。,3.5
かわいらしい反面、ことばには表現できないくらい芯の強い人でした。,3.5
最後の歌は、多分お千代ねえさんのけじめだったと思う。,3.5
最後まで歌と寄り添えてよかったなと。,3.5
定置網にかかったアカメは、水族館などに提供されているということです。,3.5
作業員は、放射線量を頻繁に監視しながら作業に当たっていました。,3.5
楽天の選手のＭＶＰは、平成２０年の岩隈久志投手以来２人目です。,3.5
哺乳瓶から盛んにミルクを吸う愛くるしい姿が話題を集めています。,3.5
ホワイトライオンの４つ子の赤ちゃんは、近く一般の入園者にも公開される予定です。,3.5
国土地理院が今月４日に行った観測では島の標高は２７メートルでした。,3.5
現在、奨励会に在籍する女性は、２１歳の里見さんを筆頭にわずか６人です。,3.5
ことしのマグロ１本当たりの最高値だということで、去年を大幅に下回りました。,3.5
本田選手はこの日午後からミランの練習施設でチームの練習に参加しました。,3.5
渡辺さんは高校生の時に震災を経験しました。,3.5
同じく開北小学校出身の星和実さんは仙台市内の大学で法律を学んでいます。,3.5
積雪で出入りが難しくなっている家では、市の職員が早速、雪かきをしていました。,3.5
エジプトで、軍の権限を強化する新たな憲法案の是非を問う国民投票が始まりました。,3.5
これは統計が比較できる平成１７年以降では最も多い額です。,3.5
ほかの２人にけがはありませんでした。,3.5
このあと集まった人たちは、全員で「見上げてごらん夜の星を」を合唱しました。,3.5
はじめに２枚の三角縁神獣鏡にレーザー光線を当て、形を精密に計測しました。,3.5
これに光を当てると、鏡の裏の文様が映し出されることが分かったのです。,3.5
しかもしっかりした手法で証明している点は高く評価できる。,3.5
アメリカ、ホワイトハウスのカーニー報道官は、１６日、声明を発表しました。,3.5
目標の値は国の海への放出基準より低く定められています。,3.5
消費税の税率が１日、１７年ぶりに引き上げられ、５％から８％になりました。,3.5
消費税率の引き上げは３％から５％になった平成９年４月以来、１７年ぶりです。,3.5
さらに乗客の女子高校生が「水が入ってくる」と悲鳴を上げていることが分かります。,3.5
国賓として来日したアメリカのオバマ大統領の歓迎式典が２４日皇居で行われました。,3.5
会合のあと日本、中国、韓国の３か国の環境大臣などが共同で記者会見を開きました。,3.5
慣れないところで寝泊まりをして疲れました。,3.5
頑固な性格だが、どこまでもどん欲で、教え甲斐のある選手。,3.5
チケットの払い戻しは２２日から行われるということです。,3.5
初来日コンサートは、３日間にわたり日本武道館で開かれました。,3.5
今後については、情報を収集しながら対応していきたいとしています。,3.5
アメリカやＥＵの参加のもとでロシアと対話する。,3.5
エンジンの排気量は２０００ｃｃで、この車種では従来より小型になりました。,3.5
背景には環境対応への戦略の違いがあります。,3.5
具体的にはまず、二酸化炭素の排出量を減らすためエンジンの排気量を小さくします。,3.5
これは、ＪＲ東日本の冨田哲郎社長が３日の記者会見で明らかにしたものです。,3.5
駅名は未定で、これから検討するとしています。,3.5
現在、西側のほぼ半分を撤去して東側に集約する工事が進められています。,3.5
敷地は１３ヘクタールと広大で、複数の複合高層ビルの建設が想定されています。,3.5
この像は大会期間中の来月２日まで設置されるということです。,3.5
原案は９日公表され、今月下旬にも正式に決定される予定です。,3.5
そして、「絶滅の危険が増大している」とされるカテゴリーが続きます。,3.5
このうち「オトナロイド」は、操る人がマイクに向かって話したとおりに話をします。,3.5
日本科学未来館の科学コミュニケーターとして働かせていただきます。,3.5
このうち２３区には１１４の温泉施設があります。,3.5
この「田んぼアート」の見頃は、来月中旬ごろまでだということです。,3.5
警察は、脱法ドラッグを使用していないかや入手経路などを詳しく調べています。,3.5
この特別展は１１月３日まで開かれています。,3.5
また、ミャンマーの天然ウナギの多くはすでに中国に輸出されています。,3.5
日本の食文化に欠かせないウナギを確保する新天地となるのか、挑戦が続きます。,3.5
クマは７１歳の男性を襲い、男性は頭や肩などを爪でひっかかれて大けがをしました。,3.5
広島ではこのあと平和について考える集会なども開かれます。,3.5
最も大きなものは１．２カラットあり、鮮やかな赤色に輝いています。,3.5
面接は１９日も行われ、その場で内定を出す企業もあるということです。,3.5
企画展が開かれているのは、東京・港区にあるＮＨＫ放送博物館です。,3.5
企画展の会場には、当時の資料を基に再現した放送ブースなどが展示されています。,3.5
また、マイクに向かって話す花子の映像も残されています。,3.5
花子は１週間交代で、およそ１０年にわたって番組を担当しました。,3.5
会場では、当時、放送されたニュースをまとめた本の一部も展示されています。,3.5
花子は、子どもたちに夢や勇気を届けようと心がけていたといいます。,3.5
花子は太平洋戦争が始まる１９４１年、番組を降板しました。,3.5
この企画展は９月２８日まで開かれています。,3.5
このツアーは、今月３０日まで毎晩開かれます。,3.5
まず、このマウスを箱の中に入れ、電気刺激を与えて怖いと感じる体験をさせます。,3.5
先月は、西日本で記録的な大雨や日照不足となり、各地で猛烈な雨が観測されました。,3.5
北海道のほぼ中央にある大雪山系の山々では、早くも紅葉が見頃を迎えています。,3.5
目の前には困難が待ち構えている。,3.5
死亡した子どもは去年より１人少ない１０人でした。,3.5
行方が分からないと知って本当に驚きましたし、心配しています。,3.5
お母さんからは本人は登山をとても楽しみにしていたと聞いています。,3.5
これは、１日開かれた厚生労働省の専門家会議で報告されたものです。,3.5
世界大学ランキングで、上位の１０大学は以下のとおりです。,3.5
東京工業大学１４１位（去年１２５位）。,3.5
東北大学１６５位（去年１５０位）。,3.5
国内で次に皆既月食が観測できるのは、来年４月４日です。,3.5
スケートの相談などもさせてもらい、助けられたことも何度もありました。,3.5
この展示会は今月１７日まで東京ビッグサイトで開かれています。,3.5
現在、エボラ出血熱に有効な治療薬や予防のためのワクチンはありません。,3.5
患者に接する医療従事者を除けば、基本的に一般の人が心配する必要はない。,3.5
愛する家族を失った方々や被災者の心の傷は癒えていない。,3.5
また、北海道旭川市では氷点下０度９分まで下がり、初氷を観測しました。,3.5
文部科学省は年間、３０日以上学校を休んだ児童・生徒について調べています。,3.5
前の年度より７０００人近く多く、６年ぶりに増加しました。,3.5
高橋選手はむち打ちのような状態になって４位に終わりました。,3.5
ことしは、岩手県をはじめ、北海道から福岡県までおよそ２４０人が参加しました。,3.5
また７０歳以上の高齢者も肺炎などを起こしやすくなる。,3.5
これはオバマ政権が２００９年に打ち出した目標をさらに強化する内容です。,3.5
中国が２０３０年という具体的な時期を示すのは今回が初めてです。,3.5
この展示会は今月１８日まで、東京・渋谷区の「渋谷ヒカリエ」で開かれています。,3.5
東京都内はすべてトンネルとなります。,3.5
上り、下りそれぞれ１時間に５本程度運行するとしています。,3.5
「ササラ電車」の出動は、去年より１５日早いということです。,3.5
料理人の見事な包丁技に会場からは大きな歓声が上がっていました。,3.5
ＩＵＣＮによるレッドリストの発表は５０年前に始まりました。,3.5
すい星の表面からは、有機物が検出されたということです。,3.5
さらに、通算勝率は７割２分３厘で、史上最も高い勝率での達成です。,3.5
通算１３００勝を達成している棋士はこれまでに３人います。,3.5
プロの棋士となってから４５年７か月での達成でした。,3.5
政府は午前９時すぎから閣議を開き、衆議院を解散することを閣議決定しました。,3.5
マスコットは現地時間の２４日に一般にお披露目されることになっています。,3.5
また街の入り口には検問所が設けられ、警察官が人の出入りを厳しく監視しています。,3.5
噴煙は午後になって高さ７００メートルほどで推移しているということです。,3.5
また、政府は総理大臣官邸の危機管理センターに情報連絡室を設置しました。,3.5
男子生徒は父親が死亡したことをきっかけに保護されました。,3.5
「初詣」は、正月に神社や寺へ行って、お参りをする（＝神や仏に祈る）ことです。,3.5
神社や寺でお参りのしかたが違うことがあります。,3.5
前の年と新しい年の２年、お参りをするからです。,3.5
初詣に行く人が日本でいちばん多い神社は、東京にある明治神宮です。,3.5
この望遠鏡を使って、候補となる星を絞り込もうというのです。,3.5
京都の下鴨神社で新春恒例の「蹴まりはじめ」が行われました。,3.5
訓練の時も教官から『君の操縦技術は素晴らしい』と言われ、自信を持っている。,3.5
油井宇宙飛行士は、今回が初めての宇宙飛行となります。,3.5
サイの角は、ベトナムや中国でがんに効くなどとして高値で売買されています。,3.5
いかなる理由であれ、卑劣なテロは決して許すことはできず、強く非難する。,3.5
まずは開幕１軍入りをして、チームの優勝にも貢献できるようになりたい。,3.5
また、パリの郊外にある日本人学校では、事件当日の７日から３学期が始まりました。,3.5
一連の被害が同じ象によるものかは分かっていないということです。,3.5
逮捕されたのは、販売員の浦川真弥容疑者（４３）です。,3.5
この映像の信ぴょう性については、まだ分かっていません。,3.5
手軽に立体物を作り出す「３Ｄプリンター」。,3.5
最新の技術で変わろうとする、思い出の新しい残し方とはどんなものでしょうか。,3.5
まず、専用のカメラでさまざまな角度から全身を撮影。,3.5
そして、石こうの粉に特殊なインクを吹きつけて固め、体の形を作っていきます。,3.5
データ処理に手間がかかるため、完成までにおよそ１か月かかります。,3.5
今回、長男の旺佑くんを前向きでだっこして撮影に臨みました。,3.5
その後、待ちに待ったフィギュアが自宅に届きました。,3.5
市場では今回の理事会で、量的緩和の導入に踏み切るという見方が強まっていました。,3.5
この中で焦点となるのは、原発の割合をどの程度にするかです。,3.5
白鵬は優勝回数で大鵬を抜き、単独で歴代最多となりました。,3.5
力士だった人は取り直しの重みを知っているはず。,3.5
パイロットには、より短い時間しか残されていない。,3.5
ショットもパワー、速さ、鋭さがあり、踏み込んで打つことができなかった。,3.5
現在は２７の路線を運航しています。,3.5
秩父神社の伝統の節分行事「鬼やらい」は、２月３日の午後７時半から行われます。,3.5
ご家族のご心痛を思えば、ことばもない。,3.5
このような結果になり、本当に残念でならない。,3.5
その罪を償わせるため、国際社会と連携していく。,3.5
中東への食糧、医療などの人道支援をさらに拡大していく。,3.5
『誰がいい、誰が悪い』と差別せず、すべての方々をおまつりしている。,3.5
冬の札幌を彩る「さっぽろ雪まつり」が５日、開幕しました。,3.5
「かまくら」はおよそ４００年の歴史がある小正月の伝統行事です。,3.5
海の底から顔をのぞかせる姿が人気のウナギの仲間、チンアナゴとニシキアナゴ。,3.5
これらの卵の一部はふ化にも成功しましたが、大きく育つことはありませんでした。,3.5
産卵行動の撮影に成功したのは、いずれも夜間、水槽の照明を消したあとでした。,3.5
その直後に、近くにいたオスも体の多くの部分を突き出して精子を放出しました。,3.5
水族館の人気者で、自分も愛情を注いでいる魚が卵を産んだことは本当にうれしい。,3.5
併設する土産物店にぬいぐるみを置くなどして集客をはかる施設もあります。,3.5
職員の１人は「仕事を効率的にしようというきっかけになる」と話していました。,3.5
この展示会は５月６日まで開かれています。,3.5
今回の検定で倍増した領土に関する記述。,3.5
この７０年で、若者を中心に原爆投下への見方が大きく変化したことが分かります。,3.5
内装はすっきりしていてちょうどよいと思います。,3.5
富士吉田市の新倉山浅間公園の桜は、今週いっぱい楽しめるということです。,3.5
これは、ＪＡＸＡが２０日開かれた国の宇宙政策委員会で明らかにしたものです。,3.5
その１つは地方での通訳案内士の不足です。,3.5
急増するアジアからの観光客の需要に、どう応えて行くかが課題となっています。,3.5
去年の案内士の合格率は２２．７％。,3.5
最近、増加が目立つのが海外からクルーズ船で訪れる外国人たち。,3.5
鹿児島県では、特区の制度を使って、地元の通訳ガイドが２６人誕生しました。,3.5
これまでに犯行声明のようなものは見つかっていないということです。,3.5
そして、強力なドリルを使って貸金庫の壁に穴を開けて侵入したとしています。,3.5
チリでは先月３日にも南部にある別の火山で大規模な噴火が起きています。,3.5
そして見事に的を射ぬくと、見物客から大きな拍手が送られていました。,3.5
その直後に地面が横にぐわーっと揺れて地震と気付いた。,3.5
「熱乃湯」は２９日にオープンします。,3.5
みずからの行いがアジア諸国民に苦しみを与えた事実から目を背けてはならない。,3.5
そのためにこそ、日米同盟を強くしなくてはならない。,3.5
日本は世界の平和と安定のため、これまで以上に責任を果たしていくと決意している。,3.5
日米間の交渉は、出口がすぐそこに見えている。,3.5
アメリカが世界に与える最良の資産は、昔も今も将来も希望だ。,3.5
アメリカと日本が力を合わせ、世界をもっとはるかによい場所にしていこう。,3.5
赤ちゃんは、体長４７センチ、体重２８００グラムの雄です。,3.5
幸い、けがをした人はなく、クマの親子も無事、森に帰ったということです。,3.5
ネパール料理は、今月末まで販売されることになっています。,3.5
厚生労働省は来週、全国の労働局に通達を出して運用を始めることにしています。,3.5
浅田真央選手は、名古屋市出身の２４歳。,3.5
地上には２機が着陸していて、残りの１機が事故を起こしたと分かった。,3.5
女性では、おうし座（１２．１％）、みずがめ座、おとめ座（９．９％）でした。,3.5
そして、直径１０メートルに及ぶ口を開いた巨大なパックマンの形を完成させました。,3.5
この調査は厚生労働省の専門家による委員会で報告されました。,3.5
また、８種類の液体からは微量のニコチンが検出されたということです。,3.5
黒沢清監督は神戸市の生まれで５９歳。,3.5
警察は、火災の発生から１週間たった２４日も、消防と合同で現場検証を行いました。,3.5
ネパールで起きた大地震から２５日で１か月になります。,3.5
中国で、日本の「ドラえもん」の映画が、２８日から上映されることになりました。,3.5
警察は催しの関係者から事情を聴くなどして当時の状況を調べています。,3.5
少し緊張はあるが、すごく楽しみだ。,3.5
離着陸時のトラブルは国内でもたびたび起きています。,3.5
東京・文京区の大手印刷会社もこうしたゴーグルを作った企業の１つ。,3.5
こうしたバーチャルリアリティーを防災に役立てようという試みも始まっています。,3.5
水位が高くなる方向を向くと警告が表示されるようにもなっています。,3.5
中国の長江で客船が転覆する事故が起きてから８日で１週間となりました。,3.5
また、２人はベッドに衣類を詰め込んで寝ているように見せかけていました。,3.5
東京と金沢を結ぶ北陸新幹線が開業してから１４日で３か月です。,3.5
ヘメロカリスの花は、今月２０日ごろまで楽しめるということです。,3.5
その４年後に無事見つかり、現在はスコットランド国立美術館に展示されています。,3.5
大儀見選手は今大会、初ゴールです。,3.5
このため選挙権年齢の引き下げは来年夏の参議院選挙から適用される見通しです。,3.5
国内最大規模のおもちゃの展示会が１８日から始まりました。,3.5
現在、すべての住民は島の外へ避難しています。,3.5
料金は月額３００円からで、月額１０００円で時間無制限の聴き放題になります。,3.5
「父の日」に動物園が企画し、二家族のお父さんが選ばれました。,3.5
「オセロ」は飼育員の合図に合わせて前足で交互に背中を踏みました。,3.5
もう１つは、日本のサクラと韓国を象徴するムクゲが大きくあしらわれています。,3.5
追加種目は、来年８月にリオデジャネイロで行われるＩＯＣ総会で決まります。,3.5
第２段階に進めたことを感謝したい。,3.5
われわれは多くの戦略的利益を共有している。,3.5
そして、２２日の午後７時すぎ死んだということです。,3.5
ゴールを決められたらよかったが、次に頑張りたい。,3.5
今回の決定で日本の世界遺産は文化遺産と自然遺産で合わせて１９件となります。,3.5
新基準のもとで、再稼働に向けて原子炉に燃料が入れられるのは初めてです。,3.5
原子炉に核燃料が入ると、再稼働に向けた準備は最終段階に入ります。,3.5
「ＢＷＲ＝沸騰水型」と呼ばれる福島第一原発と同じタイプが８原発１０基です。,3.5
アメリカの富裕層が主な読者ですが、世界的に影響力があるとされています。,3.5
「ニューホライズンズ」がこれほど鮮明な画像を地球に届けるのは初めてです。,3.5
小学校のときに見て私がこの年になってもまだ続いてるのはすごいことだと思います。,3.5
また、同時受賞となった羽田圭介さんは東京都出身の２９歳。,3.5
直木賞は初めての候補で受賞となりました。,3.5
上野動物園が、今回の人工授精の準備を始めたのは、ことし５月でした。,3.5
そして精液が入った管を液体窒素が入った容器に入れ、冷凍保存されました。,3.5
しかし、その後は繁殖に成功しない時期が続きました。,3.5
インドの教育と医療を合わせた年間の予算規模に匹敵します。,3.5
大学は、この写本をことし１０月に一般に公開することにしています。,3.5
東京オリンピックは２０２０年７月２４日に開幕し、８月９日まで行われます。,3.5
夏になって気温が高くなると、「熱中症」になる人が多くなります。,3.5
ひどいときは、亡くなることもあります。,3.5
暑い日に外に出るときは、涼しくて汗を吸いやすい服を着るようにしてください。,3.5
亡くなった人の約８０％が家の中で熱中症になっていたというデータがあります。,3.5
ひどいときは、すぐに病院に連れて行きましょう。,3.5
ベビーカーに乗っている赤ちゃんはもっと地面に近いため、気をつけてください。,3.5
子どもやお年寄りには、家族などが気をつけて水などを飲ませるようにしましょう。,3.5
ＮＡＳＡは２４日、新たに届いた複数の画像を公開しました。,3.5
ただ、訓練では、実際に水をまくことまではしないということです。,3.5
そのうえでファン首相は「完全な終息まで必要な対策を続ける」と述べました。,3.5
女性と男性の平均寿命の差は６．３３歳でおととしより０．０７歳縮まりました。,3.5
分からないことがあるとすぐ調べ、新しい知識が入ってくるとわくわくします。,3.5
投票の結果、北京が開催都市に選ばれました。,3.5
性格はまじめで責任感が強く、同僚からの信頼も厚かったということです。,3.5
旅客船には避難のための設備の設置が義務づけられています。,3.5
救命いかだはゴムボートで海上に投下すると自動的に膨らむ仕組みになっています。,3.5
対象となるのは、気象庁が２４時間態勢で監視している全国４７の活火山です。,3.5
節目の年に甲子園で野球ができることを誇りに思います。,3.5
大会は休養日を含めて６日から１５日間の日程で行われます。,3.5
日南市でのアカウミガメの卵のふ化は１０月上旬まで続くということです。,3.5
一方、暑さ以外にも異常気象とみられる現象が世界各地で確認されています。,3.5
事故が起きた当時自分は高校１年生でした。,3.5
前回は７回忌のときに一度登ろうとしたが途中で断念してしまいずっと心残りだった。,3.5
けがの程度は、分かっていません。,3.5
日本では最近、一度にたくさんの雨が強く降ることが多くなりました。,3.5
土砂災害は山などが崩れて起きる災害です。,3.5
いつもと違う様子を見つけたら、すぐに安全な場所に避難しましょう。,3.5
もっと大きな災害になりそうな場合は「大雨警報」を出します。,3.5
「避難準備情報」が出たら、いつでもすぐ避難できるように準備をしてください。,3.5
「避難勧告」が出たら、決められている場所や安全な場所に早く避難してください。,3.5
県や市などのウェブサイトでも見ることができます。,3.5
竜巻や雷は、季節に関係なく、いろいろな所で起きます。,3.5
雷は、夏に人や建物などに落ちる被害が多くなります。,3.5
積乱雲という雲が大きくなると、竜巻や突風、雷が起きやすくなります。,3.5
このようなときには、できるだけ早く避難しましょう。,3.5
割れたガラスなどが部屋の中に飛んでくることがあります。,3.5
このため、部屋にある電化製品や壁から１ｍ以上遠い場所にいてください。,3.5
雷は木や電柱などの高い物に落ちやすいため、とても危険です。,3.5
前の年からの伸び率は０．８％と小幅にとどまりました。,3.5
しかし、爆発から４日がたっても原因は明らかになっていません。,3.5
注文用の端末を別に用意しないですむため、安い費用で導入できるということです。,3.5
またＨＩＳもほとんどの旅行客について、無事を確認したということです。,3.5
これらの商品は来月１日から店頭で展示・販売されるということです。,3.5
利用者は、この２年で２００人に増えました。,3.5
テストの結果は２６日までに各地の教育委員会や学校に伝えられます。,3.5
ただ、３年前は抽出調査で、全員が対象となったのは今回が初めてです。,3.5
正しく答えられたのは２９．２％でした。,3.5
子どもたちは浮かび上がる幻想的な光の模様に大きな歓声を上げていました。,3.5
勝敗を分けるのは、幅広い理科の知識と発想力。,3.5
ワタボウシパンシェは、帽子をかぶったように見える頭の白くて長い毛が特徴です。,3.5
一般公開は来月の下旬ごろから始める予定です。,3.5
現在の展望台も引き続き利用できるということです。,3.5
金井さんは、東京都出身の３８歳。,3.5
このうち東京・池袋のホテルでは利用客など４００人を超える集団感染が発生。,3.5
このゴジラの砂の像は来月２７日まで展示されています。,3.5
これは、不動産大手の三菱地所が記者会見して明らかにしたものです。,3.5
海外の企業も進出しやすい国際的なビジネス拠点づくりの計画が進められています。,3.5
若者文化の発信地として発展してきた渋谷の街も再開発が進んでいます。,3.5
歴代のアイボを購入し、今では１７体のアイボと暮らしています。,3.5
予測地図をまとめたのは名古屋大学の廣井悠准教授です。,3.5
そのデータをタブレット端末に送ります。,3.5
設定の範囲内なら「ＯＫ」、範囲に入っていなければ、「ＮＧ」と表示されます。,3.5
この際、多くの難民が頼りにしているのがスマートフォンです。,3.5
しかし、その後、確認を進めた結果、このうちの３人と連絡が取れたということです。,3.5
