No.,ジャンル,日本語,タイ語読み,タイ語文字
18,いつもの動作,入って行く,khâw pay,เข้าไป
18,いつもの動作,出て行く,ʔɔ̀ɔk pay,ออกไป
18,いつもの動作,見る,duu,ดู
18,いつもの動作,見える・見かける,hěn,เห็น
18,いつもの動作,聞く,faŋ,ฟัง
18,いつもの動作,聞こえる,dây yin,ได้ยิน
18,いつもの動作,会う,cəə,เจอ
18,いつもの動作,話す,phûut,พูด
18,いつもの動作,読む,ʔàan,อ่าน
18,いつもの動作,食べる,thaan,ทาน
18,いつもの動作,飲む,dɯɯm,ดืม
18,いつもの動作,遊ぶ,lên,เล่น
18,いつもの動作,待つ,rɔɔ,รอ
18,いつもの動作,持っている・ある,mii,มี
19,手足の動作,つかむ・さわる,càp,จับ
19,手足の動作,押す,phlàk,ผลัก
19,手足の動作,引く,dɯŋ,ดึง
19,手足の動作,捨てる,thíŋ,ทิ้ง
19,手足の動作,破る,chìik,ฉีก
19,手足の動作,投げる,khwâaŋ,ขว้าง
19,手足の動作,受ける,ráp,รับ
19,手足の動作,抱く,kɔ̀ɔt,กอด
19,手足の動作,持ち上げる,yók,ยก
19,手足の動作,つまむ・拾う,yìp,หยิบ
19,手足の動作,指す,chíi,ชี้
19,手足の動作,叩く,khɔ́ʔ,เคาะ
19,手足の動作,押さえる,kòt,กด
19,手足の動作,蹴る,tèʔ,เตะ
19,手足の動作,倒れる,lóm,ล้ม
19,手足の動作,踏む,yìap,เหยียบ
19,手足の動作,書く,khǐan,เขียน
19,手足の動作,歩く,dəən,เดิน
19,手足の動作,走る,wîŋ,วิ่ง
19,手足の動作,運ぶ,khǒn,ขน
19,手足の動作,置く,waaŋ,วาง
20,頭を働かせる,考える,khít,คิด
20,頭を働かせる,覚えている,cam,จำ
20,頭を働かせる,記憶、記憶力,khwaam soŋ cam,ความทรงจำ
20,頭を働かせる,忘れる,lɯɯm,ลืม
20,頭を働かせる,残念に思う,sǐa cay,เสียใจ
20,頭を働かせる,悩む,klûm cay,กลุ้มใจ
20,頭を働かせる,反省する,sǎm nɯ́k phìt,สำนึกผิด
20,頭を働かせる,想像する,daw,เดา
20,頭を働かせる,関心を持つ,sǒn cay,สนใจ
20,頭を働かせる,検討する,phíʔ caa rá naa,พิจารณา
20,頭を働かせる,説明する,ʔà thíʔ baay,อธิบาย
20,頭を働かせる,気をつかう,ʔaw cay sày,เอาใจใส่
20,頭を働かせる,ぼんやりする,cay lɔɔy,ใจลอย
20,頭を働かせる,理解する,khâw cay,เข้าใจ
20,頭を働かせる,誤解する,khâw cay phìt,เข้าใจผิด
20,頭を働かせる,信じる,chɯ̂a,เชื่อ
20,頭を働かせる,相談する,prɯ̀k sǎa,ปรึกษา
20,頭を働かせる,決める、決心する,tàt sǐn cay,ตัดสินใจ
20,頭を働かせる,疑う,sǒŋ sǎy,สงสัย
20,頭を働かせる,信頼する,wáy cay,ไว้ใจ
21,教室で,勉強する,rian,เรียน
21,教室で,学校,rooŋ rian,โรงเรียน
21,教室で,教室,hɔ̂ɔŋ rian,ห้องเรียน
21,教室で,出席をとる,khǎan chɯ̂ɯ,ขานชื่อ
21,教室で,授業を欠席する,khàat rian,ขาดเรียน
21,教室で,遅刻する,maa sǎay,มาสาย
21,教室で,授業をさぼる,dòot rian,โดดเรียน
21,教室で,授業が終わる,lə̂ək rian,เลิกเรียน
21,教室で,教える,sɔ̌ɔn,สอน
21,教室で,問う・たずねる,thǎam,ถาม
21,教室で,質問,kham thǎam,คำถาม
21,教室で,答える,tɔ̀ɔp,ตอบ
21,教室で,答え,kham tɔ̀ɔp,คำตอบ
21,教室で,難しい,yâak,ยาก
21,教室で,やさしい,ŋâay,ง่าย
21,教室で,暗唱する,thɔ̂ŋ,ท่อง
21,教室で,一生懸命勉強する,tâŋ cay rian,ตั้งใจเรียน
21,教室で,家などで勉強する,duu naŋ sɯ̌ɯ,ดูหนังสือ
21,教室で,書き写す,khát,คัด
21,教室で,テスト（をする）,sɔ̀ɔp,สอบ
21,教室で,練習問題,bɛ̀ɛp fɯ̀k hàt,แบบฝึกหัด
22,学校について,入学する,khâw rian,เข้าเรียน
22,学校について,卒業する,rian còp,เรียนจบ
22,学校について,幼稚園,rooŋ rian ʔà núʔ baan,โรงเรียนอนุบาล
22,学校について,小学校,rooŋ rian pra thǒm sɯ̀k sǎa,โรงเรียนประถมศึกษา
22,学校について,中学校,rooŋ rian mát thá yom sɯ̀k sǎa tɔɔn tôn,โรงเรียนมัธยมศึกษาตอนต้น
22,学校について,高等学校,rooŋ rian mát thá yom sɯ̀k sǎa tɔɔn plaay,โรงเรียนมัธยมศึกษาตอนปลาย
22,学校について,校長先生,khruu yày,ครูใหญ่
22,学校について,生徒,nák rian,นักเรียน
22,学校について,学生,nák sɯ̀k sǎa,นักศึกษา
22,学校について,宿題,kaan,การบ็าน
22,学校について,復習する,thóp thuan,ทบทวน
22,学校について,試験に受かる,sɔ̀ɔp dâay,สอบได้
22,学校について,試験に落ちる,sɔ̌ɔy tòk,สอยตก
22,学校について,学年,chán rian,ชั้นเรียน
22,学校について,進級する,khɯ̂n chán,ขึ้นชั้น
22,学校について,留年する,sám chán,ซ้ำชั้น
22,学校について,寄宿舎・寮,hɔ̌ɔ phák,หอพัก
22,学校について,図書館,hɔ̌ɔ sa mùt,หอสมุด
22,学校について,休みになる,pìt thəəm,ปิดเทอม
22,学校について,（学習・業務）科,pha nɛ̀ɛk,แผนก
22,学校について,学部,khá náʔ,คณะ
23,大学で,文学部,khá náʔ ʔàk sɔ̌ɔn sàat,คณะอักษรศาสตร์
23,大学で,教育学部,khá ná khá rú sàat,คณะครุศาสตร์
23,大学で,人文学部,khá náʔ má nút sàat,คณะมนุษยศาสตร์
23,大学で,工学部,khá ná wít sà wá kam sàat,คณะวิศวกรรมศาสตร์
23,大学で,経済学部,khá ná sèet thà sàat,คณะเศรษฐศาสตร์
23,大学で,社会学部,khá ná sǎŋ khom sàat,คณะสังคมศาสตร์
23,大学で,政治学部,khá ná rát thà sàat,คณะรัฐศาสตร์
23,大学で,医学部,khá náʔ phɛ̂ɛt tháʔ yáʔ sàat,คณะแพทยศาสตร์
23,大学で,農学部,khá náʔ ka sèet tràʔ sàat,คณะเกษตรศาสตร์
23,大学で,法律学部,khá ná ní tì sàat,คณะนิติศาสตร์
23,大学で,理学部,khá ná wít thá yaa sàat,คณะวิทยาศาสตร์
23,大学で,タイ語学科,pha nɛ̀ɛk wí chaa phaa sǎa thay,แผนกวิชาภาษาไทย
23,大学で,生協,sa hà kɔɔn,สหกรณ์
23,大学で,チュラロンコン大学,cùʔ laa loŋ kɔɔn ma hǎa wít thá yaa lay,จุฬาลงกรณ์มหาวิทยาลัย
23,大学で,タマサート大学,ma hǎa wít thá yaa lay tham má sàat,มหาวิทยาลัยธรรมศาสตร์
23,大学で,大学,ma hǎa wít thá yaa lay,มหาวิทยาลัย
23,大学で,助教授,phûu chûay sàat sàʔ traa caan,ผู้ช่วยศาสตราจารย์
23,大学で,准教授,rɔɔŋ sàat sàʔ traa caan,รองศาสตราจารย์
23,大学で,教授,sàat sàʔ traa caan,ศาสตราจารย์
23,大学で,学部長,khá ná bɔɔ dii,คณบดี
23,大学で,学長,ʔà thíʔ kaan bà dii,อธิการบดี
24,タイ語を学ぶ,ことば・言語,phaa sǎa,ภาษา
24,タイ語を学ぶ,標準語,phaa sǎa klaaŋ,ภาษากลาง
24,タイ語を学ぶ,方言,phaa sǎa thɔ́ɔŋ thìn,ภาษาท้องถิ่น
24,タイ語を学ぶ,外国語,phaa sǎa tàŋ pra thêet,ภาษาต่างประเทศ
24,タイ語を学ぶ,タイ語,phaa sǎa thay,ภาษาไทย
24,タイ語を学ぶ,文字,taŋ nǎŋ sɯ̌ɯ,ตังหนังสือ
24,タイ語を学ぶ,正書法,ʔàk khà ràʔ wíʔ thii,อักขรวิธี
24,タイ語を学ぶ,母音,sa ràʔ,สระ
24,タイ語を学ぶ,子音,phá yan chá náʔ,พยัญชนะ
24,タイ語を学ぶ,発音する,ʔɔ̀ɔk sǐaŋ,ออกเสียง
24,タイ語を学ぶ,声調,wan ná yúk,วรรณยุกต์
24,タイ語を学ぶ,音節,phá yaaŋ,พยางค์
24,タイ語を学ぶ,単語,kham sàp,คำศัพท์
24,タイ語を学ぶ,辞典・辞書,phót ca naa núʔ krom,พจนานุกรม
24,タイ語を学ぶ,調べる,khón hǎa,ค้นหา
24,タイ語を学ぶ,文章,pra yòok,ประโยค
24,タイ語を学ぶ,文法,way yaa kɔɔn,ไวยากรณ์
24,タイ語を学ぶ,意味,khwaam mǎay,ความหมาย
24,タイ語を学ぶ,翻訳する,plɛɛ,แปล
24,タイ語を学ぶ,会話,sǒn thá naa,สนทนา
24,タイ語を学ぶ,王族用語,raa chaa sàp,ราชาศัพท์
25,教室にあるもの,机,tóʔ,โต๊ะ
25,教室にあるもの,いす,kâw ʔîi,เก้าอี้
25,教室にあるもの,ひきだし,lín chák,ลิ้นชัก
25,教室にあるもの,黒板,kra daan dam,กระดานดำ
25,教室にあるもの,チョーク,chɔ́ɔk,ชอล์ก
25,教室にあるもの,カバン・ポケット,kra pǎw,กระเป๋า
25,教室にあるもの,筆入れ,klɔ̀ɔŋ din sɔ̌ɔ,กล่องดินสอ
25,教室にあるもの,鉛筆,din sɔ̌ɔ,ดินสอ
25,教室にあるもの,万年筆,pàak kaa mɯ̀k sɯm,ปากกาหมึกซึม
25,教室にあるもの,インク,mɯ̀k,หมึก
25,教室にあるもの,ボールペン,pàak kaa lûuk lɯ̂ɯn,ปากกาลูกลื่น
25,教室にあるもの,シャープペンシル,pàak kaa din sɔ̌ɔ,ปากกาดินสอ
25,教室にあるもの,消しゴム,yaaŋ lóp,ยางลบ
25,教室にあるもの,定規,máay ban thát,ไม้บรรทัด
25,教室にあるもの,はさみ,kan kray,กรรไกร
25,教室にあるもの,のり,kaaw,กาว
25,教室にあるもの,ナイフ,mîit,มีด
25,教室にあるもの,ノート,sa mùt nóot,สมุดโน้ต
25,教室にあるもの,教科書,nǎŋ sɯ̌ɯ rian,หนังสือเรียน
25,教室にあるもの,時間割,taa raaŋ sɔ̌ɔn,ตารางสอน
25,教室にあるもの,紙,kra dàat,กระดาษ
26,一生の出来事,生まれる,kə̀ət,เกิด
26,一生の出来事,誕生日,wan kə̀ət,วันเกิด
26,一生の出来事,育つ・成長する,tə̀əp too,เติบโต
26,一生の出来事,老いる,kɛ̀ɛ loŋ,แก่ลง
26,一生の出来事,死ぬ・亡くなる,taay sǐa,ตาย(เสีย)
26,一生の出来事,結婚する,tɛ̀ŋ ŋaan,แต่งงาน
26,一生の出来事,結婚式,ŋaan tɛ̀ŋ ŋaan,งานแต่งงาน
26,一生の出来事,独身（の）,sòot,โสด
26,一生の出来事,機会,ʔoo kàat,โอกาส
26,一生の出来事,離婚する,yàa,หย่า
26,一生の出来事,子供を生む,khlɔ̂ɔt lûuk,คลอดลูก
26,一生の出来事,貧しい,con,จน
26,一生の出来事,金持ちの,ruay,รวย
26,一生の出来事,苦労する,lam bàak,ลำบาก
26,一生の出来事,泣く,rɔ́ɔŋ hây,ร้องไห้
26,一生の出来事,問題,pan hǎa,ปัญหา
26,一生の出来事,口げんかをする,tháʔ lɔ́ʔ,ทะเลาะ
26,一生の出来事,快適な,sa baay,สบาย
26,一生の出来事,笑う,hǔa rɔ́ʔ,หัวเราะ
26,一生の出来事,安定した,mân khoŋ,มั่นคง
26,一生の出来事,幸せだ,mii khwaam sùk,มีความสุข
27,身体の部分を表す言葉(1) 顔,身体,râaŋ kaay,ร่างกาย
27,身体の部分を表す言葉(1) 顔,皮膚・肌,phǐw nǎŋ,ผิวหนัง
27,身体の部分を表す言葉(1) 顔,額,hǔa,หัว
27,身体の部分を表す言葉(1) 顔,脳,sa mɔ̌ɔŋ,สมอง
27,身体の部分を表す言葉(1) 顔,髪,phǒm,ผม
27,身体の部分を表す言葉(1) 顔,顔,nâa,หน้า
27,身体の部分を表す言葉(1) 顔,額・おでこ,nâa phàak,หน้าผาก
27,身体の部分を表す言葉(1) 顔,眉毛,khíw,คิ้ว
27,身体の部分を表す言葉(1) 顔,目,taa,ตา
27,身体の部分を表す言葉(1) 顔,まつげ,khǒn taa,ขนตา
27,身体の部分を表す言葉(1) 顔,鼻,cà mùuk,จมูก
27,身体の部分を表す言葉(1) 顔,耳,hǔu,หู
27,身体の部分を表す言葉(1) 顔,口,pàak,ปาก
27,身体の部分を表す言葉(1) 顔,舌,lín,ลิ้น
27,身体の部分を表す言葉(1) 顔,歯,fan,ฟัน
27,身体の部分を表す言葉(1) 顔,くちびる,rim fǐi pàak,ริมฝีปาก
27,身体の部分を表す言葉(1) 顔,口ひげ,nùat,หนวด
27,身体の部分を表す言葉(1) 顔,ほおひげ・あごひげ,kraw,เครา
27,身体の部分を表す言葉(1) 顔,もみあげ,cɔɔn,จอน
27,身体の部分を表す言葉(1) 顔,あご,khaaŋ,คาง
27,身体の部分を表す言葉(1) 顔,首・のど,khɔɔ,คอ
28,身体の部分を表す言葉(2) 上半身,肩,lày,ไหล่
28,身体の部分を表す言葉(2) 上半身,胸,ʔòk,อก
28,身体の部分を表す言葉(2) 上半身,腕,khɛ̌ɛn,แขน
28,身体の部分を表す言葉(2) 上半身,ひじ,sɔ̀ɔk,ศอก
28,身体の部分を表す言葉(2) 上半身,手,mɯɯ,มือ
28,身体の部分を表す言葉(2) 上半身,手首,khɔ̂ɔ mɯɯ,ข้อมือ
28,身体の部分を表す言葉(2) 上半身,掌,fàa mɯɯ,ฝ่ามือ
28,身体の部分を表す言葉(2) 上半身,手の甲,lǎŋ mɯɯ,หลังมือ
28,身体の部分を表す言葉(2) 上半身,こぶし,kam mɯɯ,กำมือ
28,身体の部分を表す言葉(2) 上半身,指,níw,นิ้ว
28,身体の部分を表す言葉(2) 上半身,爪,lép,เล็บ
28,身体の部分を表す言葉(2) 上半身,背中,lǎŋ,หลัง
28,身体の部分を表す言葉(2) 上半身,骨,kra dùuk,กระดูก
28,身体の部分を表す言葉(2) 上半身,中骨,kra dùuk sǎn lǎŋ,กระดูกสันหลัง
28,身体の部分を表す言葉(2) 上半身,腹・お腹,thɔ́ɔŋ,ท้อง
28,身体の部分を表す言葉(2) 上半身,腰・ウエスト,ʔeew,เอว
28,身体の部分を表す言葉(2) 上半身,心臓,hǔa cay,หัวใจ
28,身体の部分を表す言葉(2) 上半身,肺,pɔ̀ɔt,ปอด
28,身体の部分を表す言葉(2) 上半身,胃,kra phɔ́ʔ ʔaa hǎan,กระเพาะอาหาร
28,身体の部分を表す言葉(2) 上半身,血,lɯ̂at,เลือด
28,身体の部分を表す言葉(2) 上半身,血管,sên lɯ̂at,เส้นเลือด
29,身体の部分を表す言葉(3) 下半身,おしり・ヒップ,sàʔ phôok,สะโพก
29,身体の部分を表す言葉(3) 下半身,脚,khǎa,ขา
29,身体の部分を表す言葉(3) 下半身,もも,khǎa ʔɔ̀ɔn,ขาอ่อน
29,身体の部分を表す言葉(3) 下半身,ひざ,hǔa khàw,หัวเข่า
29,身体の部分を表す言葉(3) 下半身,すね,nâa khɛ̂ɛŋ,หน้าแข้ง
29,身体の部分を表す言葉(3) 下半身,ふくらはぎ,nɔ̂ɔŋ,น่อง
29,身体の部分を表す言葉(3) 下半身,足首,khɔ̂ɔ tháaw,ข้อเท้า
29,身体の部分を表す言葉(3) 下半身,足,tháaw,เท้า
29,身体の部分を表す言葉(3) 下半身,くるぶし,taa tùm,ตาตุ่ม
29,身体の部分を表す言葉(3) 下半身,かかと,sôn tháaw,ส้นเท้า
29,身体の部分を表す言葉(3) 下半身,足の裏,fàa tháaw,ฝ่าเท้า
29,身体の部分を表す言葉(3) 下半身,足の甲,lǎŋ tháaw,หลังเท้า
29,身体の部分を表す言葉(3) 下半身,つま先,plaay tháaw,ปลายเท้า
29,身体の部分を表す言葉(3) 下半身,おへそ,sàʔ dɯɯ,สะดือ
29,身体の部分を表す言葉(3) 下半身,腸,lam sây,ลำไส้
29,身体の部分を表す言葉(3) 下半身,肝臓・レバー,tàp,ตับ
29,身体の部分を表す言葉(3) 下半身,腎臓,tay,ไต
29,身体の部分を表す言葉(3) 下半身,筋肉,klâam nɯ́a,กล้ามเนื้อ
29,身体の部分を表す言葉(3) 下半身,足が長い,khǎa yaaw,ขายาว
29,身体の部分を表す言葉(3) 下半身,足が短い,khǎa sân,ขาสั้น
29,身体の部分を表す言葉(3) 下半身,ハイヒール,rɔɔŋ tháaw sôn sǔuŋ,รองเท้าส้นสูง
30,全身の表情,皮（皮膚）がむける,phǐw nǎŋ thà lɔ̀ɔk,ผิวหนังถลอก
30,全身の表情,頭がよい,sa mɔ̌ɔŋ dii,สมองดี
30,全身の表情,眉をひそめる,khà mùat khíw,ขมวดคิ้ว
30,全身の表情,口をあける,ʔâa pàak,อ้าปาก
30,全身の表情,目を開く,lɯɯm taa,ลืมตา
30,全身の表情,目をつぶる,làp taa,หลับตา
30,全身の表情,瞬きをする,ka phríp taa,กะพริบตา
30,全身の表情,顔立ち・容貌,nâa taa,หน้าตา
30,全身の表情,鼻をかむ,sàŋ nám mûuk,สั่งน้ำมูก
30,全身の表情,うなずく,phá yák nâa,พยักหน้า
30,全身の表情,髪型,soŋ phǒm,ทรงผม
30,全身の表情,髪を分ける,sɛ̀ɛk phǒm,แสกผม
30,全身の表情,虫歯（になる）,fan phùʔ,ฟันผุ
30,全身の表情,背を曲げる・猫背,lǎŋ ŋɔɔ,หลังงอ
30,全身の表情,神経,sên pra sàat,เส้นประสาท
30,全身の表情,神経がやられる,pra sàat sǐa,ประสาทเสีย
30,全身の表情,腕前,fǐi mɯɯ,ฝีมือ
30,全身の表情,骨が折れる,kra dùuk hàk,กระดูกหัก
30,全身の表情,ウエストが長い（足が短い）,ʔeew yaaw,เอวยาว
30,全身の表情,ふくらはぎが大きい（大根足）,nɔ̂ɔŋ yày,น่องใหญ่
30,全身の表情,出べそ,sà dɯɯ cùn,สะดือจุ่น
31,生理現象,ひげをたくわえる,wáy nùat,ไว้หนวด
31,生理現象,そばかす,fâa,ฝ้า
31,生理現象,ほくろ,fǎy,ไฝ
31,生理現象,にきび,sǐw,สิว
31,生理現象,涙,nám taa,น้ำตา
31,生理現象,汗,ŋɯ̀a,เหงื่อ
31,生理現象,汗をかく,ŋɯ̀a ʔɔ̀ɔk,เหงื่อออก
31,生理現象,つば,nám laay,น้ำลาย
31,生理現象,つばをのみこむ,klɯɯn náam laay,กลืนน้ำลาย
31,生理現象,（のどが）痛む,cèp khɔɔ,เจ็บคอ
31,生理現象,小便・オシッコ（をする）,chìi,ฉี่
31,生理現象,大便・ウンチ（をする）,ʔɯ̀ʔ,อึ
31,生理現象,オシッコをがまんする,ʔân chìi,อั้นฉี่
31,生理現象,オナラ（をする）,tòt,ตด
31,生理現象,鼻水,nám mûuk,น้ำมูก
31,生理現象,鼻毛,khǒn cà mùuk,ขนจมูก
31,生理現象,せき（をする）,ʔay,ไอ
31,生理現象,くしゃみ（をする）,caam,จาม
31,生理現象,あくび（をする）,hǎaw,หาว
31,生理現象,げっぷ（をする）,rəə,เรอ
31,生理現象,息（をする）,hǎay cay,หายใจ
32,健康なからだ,体格・からだつき,rûup râaŋ,รูปร่าง
32,健康なからだ,健康だ・元気だ,sùk khà phâap dii,สุขภาพดี
32,健康なからだ,丈夫な,khɛ̌ŋ rɛɛŋ,แข็งแรง
32,健康なからだ,弱い,ʔɔ̀ɔn ʔɛɛ,อ่อนแอ
32,健康なからだ,白髪・髪の白い,phǒm ŋɔ̀ɔk,ผมหงอก
32,健康なからだ,はげ頭・頭のはげた,hǔa láan,หัวล้าน
32,健康なからだ,お腹の出た,phuŋ yày,พุงใหญ่
32,健康なからだ,背の高い,tua sǔuŋ,ตัวสูง
32,健康なからだ,背が低い,tua tîa,ตัวเตี้ย
32,健康なからだ,太っている・太い,ʔûan,อ้วน
32,健康なからだ,痩せている・細い,phɔ̌ɔm,ผอม
32,健康なからだ,脂肪,khǎy man,ไขมัน
32,健康なからだ,でんぷん,pɛ̂ɛŋ,แป้ง
32,健康なからだ,タンパク質,proo tiin,โปรตีน
32,健康なからだ,血が出る,lɯ̂at ʔɔ̀ɔk,เลือดออก
32,健康なからだ,身体障害者,khon phíʔ kaan,คนพิการ
32,健康なからだ,顔色,sǐi nâa,สีหน้า
32,健康なからだ,（顔が）青白い,nâa sîit,หน้าซีด
32,健康なからだ,疲れる・疲れた,nɯ̀ay,เหนื่อย
32,健康なからだ,一重まぶた,taa chán diaw,ตาชั้นเดียว
32,健康なからだ,二重まぶた,taa sɔ̌ɔŋ chán,ตาสองชั้น
33,かたちをいうことば,かたち,rûup,รูป
33,かたちをいうことば,大きい,yày,ใหญ่
33,かたちをいうことば,小さい,lék,เล็ก
33,かたちをいうことば,多い,mâak,มาก
33,かたちをいうことば,少ない,nɔ́ɔy,น้อย
33,かたちをいうことば,長い,yaaw,ยาว
33,かたちをいうことば,短い,sân,สั้น
33,かたちをいうことば,高い,sǔuŋ,สูง
33,かたちをいうことば,低い,tîa,เตี้ย
33,かたちをいうことば,厚い,nǎa,หนา
33,かたちをいうことば,薄い,baaŋ,บาง
33,かたちをいうことば,狭い,khɛ̂ɛp,แคบ
33,かたちをいうことば,広い,kwâaŋ,กว้าง
33,かたちをいうことば,重い,nàk,หนัก
33,かたちをいうことば,軽い,baw,เบา
33,かたちをいうことば,丸い,klom,กลม
33,かたちをいうことば,三角だ,sǎam lìam,สามเหลี่ยม
33,かたちをいうことば,四角い,sìi lìam,สี่เหลี่ยม
33,かたちをいうことば,鋭い・とがった,lɛ̌ɛm,แหลม
33,かたちをいうことば,こまかい,láʔ ʔìat,ละเอียด
33,かたちをいうことば,粗い,yàap,หยาบ
34,状態をいうことば,良い,dii,ดี
34,状態をいうことば,悪い,mây dii,ไม่ดี
34,状態をいうことば,強い・力,rɛɛŋ,แรง
34,状態をいうことば,硬い,khɛ̌ŋ,แข็ง
34,状態をいうことば,弱い・柔らかい・色が薄い,ʔɔ̀ɔn,อ่อน
34,状態をいうことば,危険な,ʔan tà raay,อันตราย
34,状態をいうことば,正常な・通常は,pòk kà tìʔ,ปกติ
34,状態をいうことば,変だ・おかしい,plɛ̀ɛk,แปลก
34,状態をいうことば,新しい,mày,ใหม่
34,状態をいうことば,古い,kàw,เก่า
34,状態をいうことば,同じだ,mɯ̌an,เหมือน
34,状態をいうことば,違う・異なる,mây mɯ̌an,ไม่เหมือน
34,状態をいうことば,複雑な,sáp sɔ́ɔn,ซับซ้อน
34,状態をいうことば,混乱した,sàp sǒn,สับสน
34,状態をいうことば,深い,lɯ́k,ลึก
34,状態をいうことば,浅い,tɯ̂ɯn,ตื้น
34,状態をいうことば,美しい・きれいな,sǔay,สวย
34,状態をいうことば,かわいい・愛すべき,nâa rák,น่ารัก
34,状態をいうことば,みっともない,nâa klìat,น่าเกลียด
34,状態をいうことば,清潔だ,sàʔ ʔàat,สะอาด
34,状態をいうことば,汚い,sòk kà pròk,สกปรก
35,今日の天気 ,天候・天気,ʔaa kàat,อากาศ
35,今日の天気 ,陽光・日差し,dɛ̀ɛt,แดด
35,今日の天気 ,雲,mêek,เมฆ
35,今日の天気 ,風,lom,ลม
35,今日の天気 ,雨,fǒn,ฝน
35,今日の天気 ,雪,hìʔ máʔ,หิมะ
35,今日の天気 ,台風,tây fùn,ไต้ฝุ่น
35,今日の天気 ,霧,mɔ̀ɔk,หมอก
35,今日の天気 ,ひょう,lûuk hèp,ลูกเห็บ
35,今日の天気 ,雷が鳴る,fáa rɔ́ɔŋ,ฟ้าร้อง
35,今日の天気 ,稲光がする,fáa lɛ̂ɛp,ฟ้าแลบ
35,今日の天気 ,天気予報,phá yaa kɔɔn ʔaa kàat,พยากรณ์อากาศ
35,今日の天気 ,気温・温度,ʔun hà phuum,อุณหภูมิ
35,今日の天気 ,あたたかい・あたためる,ʔùn,อุ่น
35,今日の天気 ,暑い・熱い,rɔ́ɔn,ร้อน
35,今日の天気 ,涼しい・冷たい,yen,เย็น
35,今日の天気 ,寒い,nǎaw,หนาว
