hiragana,hepburn,kunrei
あ,a,a
い,i,i
いぇ,ye,ye
う,u,u
うぃ,wi,wi
うぇ,we,we
うぉ,wo,wo
ゔ,vu,vu
ゔぁ,va,va
ゔぃ,vi,vi
ゔぇ,ve,ve
ゔぉ,vo,vo
え,e,e
お,o,o
か,ka,ka
が,ga,ga
き,ki,ki
きゃ,kya,kya
きゅ,kyu,kyu
きょ,kyo,kyo
ぎ,gi,gi
ぎゃ,gya,gya
ぎゅ,gyu,gyu
ぎょ,gyo,gyo
く,ku,ku
くゎ,kwa,kwa
くぃ,kwi,kwi
くぇ,kwe,kwe
くぉ,kwo,kwo
ぐ,gu,gu
ぐぃ,gwi,gwi
ぐぇ,gwe,gwe
ぐぉ,gwo,gwo
け,ke,ke
げ,ge,ge
こ,ko,ko
ご,go,go
さ,sa,sa
ざ,za,za
し,shi,si
しゃ,sha,sya
しゅ,shu,syu
しょ,sho,syo
しぇ,she,sye
じ,ji,zi
じゃ,ja,zya
じゅ,ju,zyu
じょ,jo,zyo
じぇ,je,zye
す,su,su
すぃ,si,swi
ず,zu,zu
ずぃ,zi,zwi
せ,se,se
ぜ,ze,ze
そ,so,so
ぞ,zo,zo
た,ta,ta
だ,da,da
ち,chi,ti
ちゃ,cha,tya
ちゅ,chu,tyu
ちょ,cho,tyo
ちぇ,che,tye
ぢ,ji,di
ぢゃ,ja,dya
ぢゅ,ju,dyu
ぢょ,jo,dyo
ぢぇ,je,dye
つ,tsu,tu
つぁ,tsa,twa
つぃ,tsi,twi
つぇ,tse,twe
つぉ,tso,two
づ,zu,du
て,te,te
てぃ,ti,ti
で,de,de
でぃ,di,di
と,to,to
とぅ,tu,tu
ど,do,do
どぅ,du,du
な,na,na
に,ni,ni
にゃ,nya,nya
にゅ,nyu,nyu
にょ,nyo,nyo
にぇ,nye,nyo
ぬ,nu,nu
ね,ne,ne
の,no,no
は,ha,ha
ば,ba,ba
ぱ,pa,pa
ひ,hi,hi
ひゃ,hya,hya
ひゅ,hyu,hyu
ひょ,hyo,hyo
ひぇ,hye,hye
び,bi,bi
びゃ,bya,bya
びゅ,byu,byu
びょ,byo,byo
びぇ,bye,bye
ぴ,pi,pi
ぴゃ,pya,pya
ぴゅ,pyu,pyu
ぴょ,pyo,pyo
ぴぇ,pye,pye
ふ,fu,hu
ふぁ,fa,fa
ふぃ,fi,fi
ふぇ,fe,fe
ふぉ,fo,fo
ふゅ,fyu,hwyu
ぶ,bu,bu
ぷ,pu,pu
へ,he,he
べ,be,be
ぺ,pe,pe
ほ,ho,ho
ぼ,bo,bo
ぽ,po,po
ま,ma,ma
み,mi,mi
みゃ,mya,mya
みゅ,myu,myu
みょ,myo,myo
む,mu,mu
め,me,me
も,mo,mo
や,ya,ya
ゆ,yu,yu
よ,yo,yo
ら,ra,ra
り,ri,ri
りゃ,rya,rya
りゅ,ryu,ryu
りょ,ryo,ryo
りぇ,rye,rye
る,ru,ru
れ,re,re
ろ,ro,ro
わ,wa,wa
を,o,o
ん,n,n